Time	Y(t)
0	0
0.05	0.05
0.1	0.102375
0.15	0.154631
0.2	0.206775
0.25	0.258811
0.3	0.310745
0.35	0.362583
0.4	0.414329
0.45	0.465988
0.5	0.517563
0.55	0.56906
0.6	0.620482
0.65	0.671833
0.7	0.723116
0.75	0.774335
0.8	0.825494
0.85	0.876594
0.9	0.927639
0.95	0.978632
1	1.02958
1.05	1.08047
1.1	1.13132
1.15	1.18213
1.2	1.2329
1.25	1.28363
1.3	1.33432
1.35	1.38498
1.4	1.43561
1.45	1.4862
1.5	1.53677
1.55	1.5873
1.6	1.63781
1.65	1.6883
1.7	1.73876
1.75	1.7892
1.8	1.83961
1.85	1.89001
1.9	1.94038
1.95	1.99074
2	2.04107
2.05	2.0914
2.1	2.1417
2.15	2.19199
2.2	2.24227
2.25	2.29253
2.3	2.34278
2.35	2.39301
2.4	2.44324
2.45	2.49345
2.5	2.54365
2.55	2.59385
2.6	2.64403
2.65	2.6942
2.7	2.74437
2.75	2.79452
2.8	2.84467
2.85	2.89481
2.9	2.94495
2.95	2.99508
3	3.0452
3.05	3.09531
3.1	3.14542
3.15	3.19553
3.2	3.24562
3.25	3.29572
3.3	3.34581
3.35	3.39589
3.4	3.44597
3.45	3.49605
3.5	3.54612
3.55	3.59619
3.6	3.64626
3.65	3.69632
3.7	3.74638
3.75	3.79643
3.8	3.84649
3.85	3.89654
3.9	3.94659
3.95	3.99663
4	4.04667
4.05	4.09672
4.1	4.14675
4.15	4.19679
4.2	4.24683
4.25	4.29686
4.3	4.34689
4.35	4.39692
4.4	4.44695
4.45	4.49698
4.5	4.54701
4.55	4.59703
4.6	4.64705
4.65	4.69708
4.7	4.7471
4.75	4.79712
4.8	4.84714
4.85	4.89715
4.9	4.94717
4.95	4.99719
5	5.0472
